username,group
anon3,Group GC
anon6,Group GC
anon10,Group CG
anon12,Group CG
anon13,Group GC
anon18,Group CG
anon19,Group CG
anon20,Group GC
anon21,Group GC
anon23,Group CG
anon24,Group GC
anon25,Group GC
anon26,Group CG
anon28,Group GC
anon29,Group CG
anon31,Group CG
anon32,Group CG
anon33,Group CG
anon36,Group GC
anon38,Group GC
anon39,Group CG
anon40,Group CG
anon41,Group GC
anon44,Group GC
anon46,Group CG
anon52,Group GC
anon56,Group CG
anon57,Group GC
anon58,Group CG
anon59,Group GC
anon60,Group GC
anon61,Group CG
anon63,Group GC
anon65,Group GC
anon66,Group GC
anon67,Group GC
anon69,Group CG
anon71,Group GC
anon72,Group GC
anon78,Group CG
anon80,Group GC
anon86,Group CG
anon87,Group GC
anon88,Group GC
anon89,Group CG
anon90,Group CG
anon95,Group GC
anon96,Group CG
anon97,Group CG
anon98,Group CG
anon99,Group CG
anon100,Group CG
anon101,Group GC
anon105,Group CG
anon108,Group CG
anon109,Group CG
anon110,Group GC
anon113,Group GC
anon114,Group CG
anon115,Group GC
anon116,Group CG
anon117,Group CG
anon118,Group CG
anon119,Group GC
anon121,Group GC
anon122,Group CG
anon128,Group CG
anon133,Group GC
anon134,Group CG
anon135,Group GC
anon136,Group GC
anon137,Group GC
anon138,Group GC
anon139,Group CG
anon142,Group GC
anon143,Group CG
anon148,Group CG
anon153,Group CG
anon156,Group GC
anon157,Group CG
anon160,Group GC
anon162,Group CG
anon164,Group CG
anon165,Group GC
anon166,Group GC
anon167,Group CG
anon170,Group GC
anon171,Group GC
anon173,Group GC
anon174,Group CG
anon177,Group CG
anon180,Group GC
anon183,Group CG
anon184,Group CG
anon185,Group CG
anon187,Group CG
anon188,Group GC
anon191,Group CG
anon192,Group CG
anon194,Group CG
anon195,Group GC
anon196,Group CG
anon197,Group CG
anon198,Group GC
anon199,Group GC
anon201,Group CG
anon202,Group GC
anon203,Group GC
anon204,Group CG
anon205,Group GC
anon206,Group GC
anon208,Group CG
anon209,Group GC
anon210,Group GC
anon211,Group GC
anon212,Group GC
anon214,Group CG
anon215,Group CG
anon216,Group CG
anon218,Group GC
anon221,Group GC
