study,group,username,question_name,q_type,responsesummary,marks_attained,task_order,part,response,q_part,relevant_prt,fully_correct,response_type,response_type_overall
study1,GCG,anon100,NearG,G,ans1: 1-1/2^n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Classify first,ans1,1-1/2^n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,1/2^n,1/2^n
study1,CGC,anon101,NearG,G,ans1: 5-(1/2^n) [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Generate first,ans1,5-(1/2^n) ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,1/2^n,1/2^n
study1,CGC,anon103,NearG,G,ans1: -1/n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Generate first,ans1,-1/n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,1/n,1/n
study1,CGC,anon104,NearG,G,ans1: n/2 [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Generate first,ans1,n/2 ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,an+b,other
study1,GGC,anon105,NearG,G,ans1: 1-1/2^n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Generate first,ans1,1-1/2^n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,1/2^n,1/2^n
study1,GGC,anon106,NearG,G,ans1: 2+1/n [score]; prt1: prt1-1-F | ATLogic_True | prt1-2-T,0,Generate first,ans1,2+1/n ,NearG_ans1,prt1: prt1-1-F | ATLogic_True | prt1-2-T,FALSE,1/n,1/n
study1,GCG,anon109,NearG,G,ans1: 1/n+9 [score]; prt1: prt1-1-F | ATLogic_True | prt1-2-T,0,Classify first,ans1,1/n+9 ,NearG_ans1,prt1: prt1-1-F | ATLogic_True | prt1-2-T,FALSE,1/n,1/n
study1,CCG,anon110,NearG,G,ans1: 1/2*n+1 [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Classify first,ans1,1/2*n+1 ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,a/n,1/n
study1,CCG,anon112,NearG,G,ans1: 1+u_n [score]; prt1: prt1-1-F | ATLogic_True | prt1-2-T,0,Classify first,ans1,1+u_n ,NearG_ans1,prt1: prt1-1-F | ATLogic_True | prt1-2-T,FALSE,other,other
study1,CGC,anon113,NearG,G,ans1: 6^n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Generate first,ans1,6^n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,^n,other
study1,GGC,anon114,NearG,G,ans1: n -1/2^n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Generate first,ans1,n -1/2^n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,1/2^n,1/2^n
study1,CGC,anon115,NearG,G,ans1: 1/n [score]; prt1: prt1-1-F | ATLogic_True | prt1-2-T,0,Generate first,ans1,1/n ,NearG_ans1,prt1: prt1-1-F | ATLogic_True | prt1-2-T,FALSE,1/n,1/n
study1,CGC,anon117,NearG,G,ans1: 1/(4*n+4) [score]; prt1: prt1-1-F | ATLogic_True | prt1-2-T,0,Generate first,ans1,1/(4*n+4) ,NearG_ans1,prt1: prt1-1-F | ATLogic_True | prt1-2-T,FALSE,1/(an+b),1/n
study1,GCG,anon12,NearG,G,ans1: 1-1/2^n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Classify first,ans1,1-1/2^n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,1/2^n,1/2^n
study1,CGC,anon125,NearG,G,ans1: (n-1)/n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Generate first,ans1,(n-1)/n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,(expr in n)/(an+b),1/n
study1,CCG,anon126,NearG,G,ans1: 2*n -1 [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,0.5,Classify first,ans1,2*n -1 ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | prt1-4-F,FALSE,an+b,other
study1,CGC,anon128,NearG,G,ans1: log(x) [score]; prt1: prt1-1-F | ATLogic_True | prt1-2-T,0,Generate first,ans1,log(x) ,NearG_ans1,prt1: prt1-1-F | ATLogic_True | prt1-2-T,FALSE,other,other
study1,CGC,anon13,NearG,G,ans1: 4-1/(4*n) [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Generate first,ans1,4-1/(4*n) ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,a/n,1/n
study1,GCG,anon139,NearG,G,ans1: 2-2/n [score]; prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,1,Classify first,ans1,2-2/n ,NearG_ans1,prt1: ATLogic_True | prt1-1-T | prt1-3-F | ATLogic_True | prt1-4-T,TRUE,a/n,1/n
study1,CGC,anon14,NearG,G,ans1: 0 [score]; prt1: prt1-1-F | ATLogic_True | prt1-2-T,0,Generate first,ans1,0 ,NearG_ans1,prt1: prt1-1-F | ATLogic_True | prt1-2-T,FALSE,integer,other
study1,GCG,anon143,NearG,G,ans1: 1/n [score]; prt1: prt1-1-F | ATLogic_True | prt1-2-T,0,Classify first,ans1,1/n ,NearG_ans1,prt1: prt1-1-F | ATLogic_True | prt1-2-T,FALSE,1/n,1/n
